Country,total_player_count,all_master_player_count,titled_female_player_count,rating_sum,CM_rating_sum,FM_rating_sum,IM_rating_sum,GM_rating_sum,WCM_rating_sum,WFM_rating_sum,WIM_rating_sum,WGM_rating_sum,rating_average,CM_rating_average,FM_rating_average,IM_rating_average,GM_rating_average,WCM_rating_average,WFM_rating_average,WIM_rating_average,WGM_rating_average,CM_count,FM_count,IM_count,GM_count,WCM_count,WFM_count,WIM_count,WGM_count,highest_rating,highest_player,population
India,53768,805,224,1774151.0,321174.0,414214.0,388105.0,233166.0,135268.0,154199.0,98310.0,28253.0,2203.91,2099.18,2226.96,2323.98,2507.16,1905.18,2028.93,2137.17,2173.31,153,186,167,93,71,76,46,13,2751.0,Erigaisi Arjun,1417492000
Bangladesh,3040,72,22,151324.0,45031.0,38723.0,11654.0,11848.0,18792.0,15662.0,7864.0,0,2101.72,2046.86,2151.28,2330.8,2369.6,1879.2,1957.75,1966.0,0,22,18,5,5,10,8,4,0,2424.0,"Mohammad Fahad, Rahman",169828911
Egypt,3877,98,23,212085.0,21222.0,58776.0,69160.0,17288.0,16047.0,5721.0,13627.0,8407.0,2164.13,2122.2,2176.89,2230.97,2469.71,1783.0,1907.0,1946.71,2101.75,10,27,31,7,9,3,7,4,2627.0,"Amin, Bassem",107271260
Malaysia,3354,77,25,162421.0,40934.0,43608.0,25348.0,2492.0,20600.0,21740.0,6150.0,0,2109.36,2046.7,2180.4,2304.36,2492.0,1872.73,1976.36,2050.0,0,20,20,11,1,11,11,3,0,2492.0,"Yeoh, Li Tian",34231700
China,3692,248,94,575966.0,30709.0,92320.0,144009.0,137324.0,18774.0,50348.0,58945.0,41588.0,2322.44,2047.27,2308.0,2400.15,2543.04,1877.4,2097.83,2183.15,2310.44,15,40,60,54,10,24,27,18,2753.0,"Wei, Yi",1408280000
Indonesia,1529,156,55,340685.0,20957.0,133687.0,64612.0,12202.0,13625.0,63958.0,27579.0,2158.0,2183.88,2095.7,2228.12,2307.57,2440.4,1946.43,1998.69,2121.46,2158.0,10,60,28,5,7,32,13,1,2509.0,"Cuhendi, Sean Winshand",284438782
Bahrain,134,12,4,23921.0,5513.0,10255.0,0,0,6173.0,0,0,0,1993.42,1837.67,2051.0,0,0,1543.25,0,0,0,3,5,0,0,4,0,0,0,2093.0,"Ayyad, Husain",1594654
Germany,35894,1750,176,3937583.0,424098.0,2208808.0,701734.0,254108.0,31617.0,185588.0,80356.0,49472.0,2250.05,2141.91,2244.72,2354.81,2467.07,1976.06,2039.43,2114.63,2248.73,198,984,298,103,16,91,38,22,2759.0,"Keymer, Vincent",83491249
Iran,15887,206,41,456423.0,71291.0,194541.0,63030.0,42309.0,23663.0,36794.0,18675.0,4556.0,2215.65,2096.79,2236.1,2334.44,2488.76,1971.92,2044.11,2075.0,2278.0,34,87,27,17,12,18,9,2,2714.0,"Tabatabaei, M. Amin",85961000
Sweden,5656,232,15,525381.0,78857.0,238722.0,117933.0,61086.0,0,11974.0,16809.0,0,2264.57,2131.27,2252.09,2358.66,2443.44,0,1995.67,2101.12,0,37,106,50,25,0,6,8,0,2662.0,"Grandelius, Nils",10605098
Sri Lanka,6939,87,42,167653.0,52306.0,28994.0,9135.0,0,34830.0,35071.0,5873.0,0,1927.05,1937.26,2071.0,2283.75,0,1741.5,1845.84,1957.67,0,27,14,4,0,20,19,3,0,2429.0,"Liyanage, Ranindu Dilshan",21763170
Norway,4911,205,16,462366.0,100234.0,194620.0,82647.0,49994.0,3944.0,7783.0,15029.0,6248.0,2255.44,2132.64,2237.01,2361.34,2499.7,1972.0,1945.75,2147.0,2082.67,47,87,35,20,2,4,7,3,2840.0,"Carlsen, Magnus",5606944
Denmark,5418,174,17,392240.0,49002.0,169809.0,100750.0,40082.0,1715.0,22399.0,8483.0,0,2254.25,2130.52,2234.33,2343.02,2505.12,1715.0,2036.27,2120.75,0,23,76,43,16,1,11,4,0,2626.0,"Bjerre, Jonas Buhl",6011488
Singapore,1229,90,26,193926.0,46263.0,52994.0,28140.0,14432.0,20500.0,23897.0,4017.0,2198.0,2154.73,2102.86,2208.08,2345.0,2405.33,1863.64,1991.42,2008.5,2198.0,22,24,12,6,11,12,2,1,2589.0,"Tin, Jingyao",6110200
Tanzania,75,6,2,12215.0,5428.0,1948.0,0,0,3167.0,0,0,0,2035.83,1809.33,1948.0,0,0,1583.5,0,0,0,3,1,0,0,2,0,0,0,1933.0,Misambo Kilasa,68153004
Sudan,425,19,4,40113.0,12195.0,16947.0,2269.0,0,6813.0,0,0,0,2111.21,2032.5,2118.38,2269.0,0,1703.25,0,0,0,6,8,1,0,4,0,0,0,2269.0,"Eltigani, Omar",51662000
United States of America,11961,1039,217,2315183.0,262206.0,951521.0,446838.0,283262.0,146952.0,118016.0,73096.0,31598.0,2228.28,2081.0,2244.15,2364.22,2506.74,1860.15,2000.27,2088.46,2257.0,126,424,189,113,79,59,35,14,2792.0,"Nakamura, Hikaru",340110988
Netherlands,6946,438,41,998207.0,126744.0,460846.0,228710.0,108041.0,3917.0,27091.0,31847.0,9017.0,2279.01,2148.2,2248.03,2357.84,2512.58,1958.5,2083.92,2123.13,2254.25,59,205,97,43,2,13,15,4,2767.0,"Giri, Anish",18100436
Iraq,1258,83,23,172958.0,62503.0,47641.0,17526.0,0,28119.0,11631.0,3932.0,0,2083.83,2083.43,2165.5,2190.75,0,1874.6,1938.5,1966.0,0,30,22,8,0,15,6,2,0,2239.0,Zozek Salah Mohammed,46118793
Finland,1418,123,10,276597.0,19007.0,176313.0,51786.0,9584.0,3712.0,9869.0,4309.0,0,2248.76,2111.89,2231.81,2353.91,2396.0,1856.0,1973.8,2154.5,0,9,79,22,4,2,5,2,0,2601.0,"Nyback, Tomi",5650325
Maldives,141,10,5,18857.0,5562.0,4031.0,0,0,6272.0,1506.0,0,0,1885.7,1854.0,2015.5,0,0,1568.0,1506.0,0,0,3,2,0,0,4,1,0,0,2193.0,"Muhammed, Shuaau",515132
Morocco,745,51,12,109645.0,36183.0,26723.0,20044.0,2502.0,3596.0,12987.0,5625.0,0,2149.9,2128.41,2226.92,2227.11,2502.0,1798.0,1855.29,1875.0,0,17,12,9,1,2,7,3,0,2502.0,"Hamdouchi, Hicham",36828330
Spain,39547,977,93,2180414.0,450151.0,1047925.0,354435.0,149877.0,20025.0,117617.0,31995.0,6589.0,2231.74,2123.35,2239.16,2347.25,2457.0,2002.5,2063.46,2133.0,2196.33,212,468,151,61,10,57,15,3,2657.0,"Anton Guijarro, David",49315949
Russia,43498,2590,594,5815208.0,205463.0,2818632.0,1137879.0,456282.0,67746.0,825944.0,215781.0,85507.0,2245.25,2140.24,2251.3,2346.14,2479.79,1935.6,2070.04,2157.81,2192.49,96,1252,485,184,35,399,100,39,2729.0,"Nepomniachtchi, Ian",146028325
France,36937,639,79,1438669.0,193100.0,645156.0,308875.0,146332.0,13618.0,74451.0,37788.0,17782.0,2251.44,2145.56,2232.37,2339.96,2480.2,1945.43,2068.08,2099.33,2222.75,90,289,132,59,7,36,18,8,2759.0,"Firouzja, Alireza",66351959
Kenya,1559,39,20,70602.0,27110.0,7778.0,0,0,18117.0,16088.0,0,0,1810.31,1807.33,1944.5,0,0,1647.0,1787.56,0,0,15,4,0,0,11,9,0,0,2152.0,Simiyu Jadon,53330978
Pakistan,520,20,6,41814.0,14648.0,10897.0,4400.0,0,10114.0,0,0,0,2090.7,2092.57,2179.4,2200.0,0,1685.67,0,0,0,7,5,2,0,6,0,0,0,2070.0,"Waseem, Javid",241499431
United Arab Emirates,597,69,24,142143.0,30183.0,43163.0,18438.0,5046.0,13898.0,16050.0,11440.0,2013.0,2060.04,2012.2,2158.15,2304.75,2523.0,1737.25,1783.33,1906.67,2013.0,15,20,8,2,8,9,6,1,2640.0,"Salem, A.R. Saleh",11294243
Australia,4466,291,63,607950.0,194267.0,192460.0,73883.0,24834.0,36381.0,51426.0,26082.0,6692.0,2089.18,1982.32,2162.47,2308.84,2483.4,1819.05,1977.92,2006.31,2230.67,98,89,32,10,20,26,13,3,2571.0,"Cheng, Bobby",27536874
Mauritius,72,12,3,23529.0,13289.0,3976.0,0,0,4775.0,0,0,0,1960.75,1898.43,1988.0,0,0,1591.67,0,0,0,7,2,0,0,3,0,0,0,2159.0,"Phillips, Roy",1243741
Nigeria,931,55,16,115187.0,29103.0,36032.0,17525.0,0,13386.0,13600.0,3773.0,0,2094.31,2078.79,2119.53,2190.62,0,1912.29,1942.86,1886.5,0,14,17,8,0,7,7,2,0,2365.0,"ABDULRAHEEM, Abdulrahman Akintoye",223800000
Canada,3580,297,74,647106.0,100788.0,245216.0,119361.0,37383.0,52570.0,55983.0,29439.0,4566.0,2178.81,2099.75,2229.24,2340.41,2492.2,1812.76,1999.39,2102.79,2283.0,48,110,51,15,29,28,14,2,2533.0,"Rodrigue-Lemieux, Shawn",41651653
United Kingdom,5770,374,54,836561.0,173493.0,294509.0,161515.0,106442.0,15536.0,55110.0,15072.0,12967.0,2236.79,2115.77,2231.13,2340.8,2475.4,1942.0,2041.11,2153.14,2161.17,82,132,69,43,8,27,7,6,2666.0,"Vitiugov, Nikita",69281437
Ghana,150,16,4,30867.0,18731.0,1947.0,1873.0,0,4998.0,1629.0,0,0,1929.19,1873.1,1947.0,1873.0,0,1666.0,1629.0,0,0,10,1,1,0,3,1,0,0,1965.0,"Adu-Poku, Kwabena",33742380
Philippines,3290,131,27,291341.0,10064.0,110917.0,80590.0,33636.0,5658.0,24036.0,22461.0,2206.0,2223.98,2012.8,2218.34,2302.57,2402.57,1886.0,2003.0,2041.91,2206.0,5,50,35,14,3,12,11,1,2547.0,"Sadorra, Julio Catalino",114123600
Turkey,11608,337,73,731679.0,214546.0,240298.0,94466.0,42911.0,75325.0,45444.0,12568.0,4531.0,2171.15,2124.22,2224.98,2361.65,2524.18,1883.12,1975.83,2094.67,2265.5,101,108,40,17,40,23,6,2,2708.0,"Erdogmus, Yagiz Kaan",85664944
Moldova,999,79,21,178876.0,6485.0,58706.0,50478.0,19514.0,1919.0,20745.0,10918.0,8452.0,2264.25,2161.67,2257.92,2294.45,2439.25,1919.0,2074.5,2183.6,2113.0,3,26,22,8,1,10,5,4,2590.0,"Bologan, Victor",2749076
Jordan,1025,38,10,79875.0,22254.0,25315.0,10981.0,2174.0,3574.0,3766.0,9847.0,0,2101.97,2023.09,2109.58,2196.2,2174.0,1787.0,1883.0,1969.4,0,11,12,5,1,2,2,5,0,2320.0,"Issa, Rafat",11734000
Switzerland,5671,189,23,428017.0,23715.0,228242.0,100187.0,32530.0,3735.0,20591.0,10865.0,6548.0,2264.64,2155.91,2237.67,2329.93,2502.31,1867.5,2059.1,2173.0,2182.67,11,102,43,13,2,10,5,3,2576.0,"Milov, Vadim",9082848
Cuba,2735,343,96,761535.0,27500.0,340195.0,135312.0,63845.0,5721.0,134254.0,35373.0,17453.0,2220.22,2115.38,2238.12,2332.97,2455.58,1907.0,2034.15,2080.76,2181.62,13,152,58,26,3,66,17,8,2592.0,"Albornoz Cabrera, Carlos Daniel",9748007
Peru,5247,154,51,326945.0,58390.0,95077.0,55746.0,22320.0,30642.0,40184.0,23025.0,0,2123.02,2013.45,2211.09,2322.75,2480.0,1802.47,1913.52,2093.18,0,29,43,24,9,17,21,11,0,2613.0,"Cori, Jorge",34350244
Ecuador,1953,85,36,177192.0,22673.0,51142.0,33889.0,2381.0,17692.0,35629.0,8177.0,4049.0,2084.61,1889.42,2223.57,2259.27,2381.0,1769.2,1979.39,2044.25,2024.5,12,23,15,1,10,18,4,2,2398.0,"Noboa Silva, Kevin",18103660
Colombia,4692,330,77,686682.0,164573.0,262301.0,86230.0,26852.0,51252.0,48342.0,41323.0,4200.0,2080.85,1959.2,2150.01,2269.21,2441.09,1830.43,1933.68,2066.15,2100.0,84,122,38,11,28,25,20,2,2543.0,"Cardoso Cardoso, Jose Gabriel",53057212
Dominican Republic,1112,76,13,160431.0,58779.0,56919.0,16245.0,2396.0,10793.0,13430.0,0,0,2110.93,2026.86,2189.19,2320.71,2396.0,1798.83,1918.57,0,0,29,26,7,1,6,7,0,0,2323.0,"Munoz Santana, Jose Lisandro",10771504
Argentina,7716,339,47,759174.0,108052.0,334221.0,159536.0,61464.0,19014.0,36791.0,33921.0,4351.0,2239.45,2118.67,2243.09,2346.12,2458.56,1901.4,2043.94,2120.06,2175.5,51,149,68,25,10,18,16,2,2582.0,"Flores, Diego",46735004
Uruguay,1002,47,10,100103.0,34472.0,24021.0,16042.0,5034.0,12670.0,3851.0,2084.0,0,2129.85,2027.76,2183.73,2291.71,2517.0,1810.0,1925.5,2084.0,0,17,11,7,2,7,2,1,0,2612.0,"Meier, Georg",3499451
Panama,688,54,15,108228.0,51161.0,23041.0,6746.0,0,18077.0,7430.0,0,0,2004.22,1967.73,2094.64,2248.67,0,1807.7,1857.5,0,0,26,11,3,0,10,4,0,0,2344.0,"Sanchez Alvarez, Roberto Carlos",4064780
Belarus,1505,100,32,224255.0,6278.0,64597.0,53298.0,36332.0,0,47412.0,6668.0,8125.0,2242.55,2092.67,2227.48,2317.3,2422.13,0,2061.39,2222.67,2031.25,3,29,23,15,0,23,3,4,2621.0,"Lazavik, Denis",9109280
Israel,4020,268,35,616130.0,29920.0,208460.0,185757.0,127726.0,7584.0,24278.0,19442.0,11167.0,2298.99,2137.14,2241.51,2351.35,2456.27,1896.0,2023.17,2160.22,2233.4,14,93,79,52,4,12,9,5,2635.0,"Gelfand, Boris",10134800
Austria,5241,314,28,701144.0,117602.0,357206.0,138175.0,32513.0,9854.0,30932.0,10705.0,2263.0,2232.94,2138.22,2218.67,2341.95,2501.0,1970.8,2062.13,2141.0,2263.0,55,161,59,13,5,15,5,1,2656.0,"Alekseenko, Kirill",9200931
Kyrgyzstan,1105,43,15,91144.0,10213.0,28883.0,23078.0,0,13094.0,11796.0,4080.0,0,2119.63,2042.6,2221.77,2307.8,0,1870.57,1966.0,2040.0,0,5,13,10,0,7,6,2,0,2398.0,"Sydykov, Bayastan",7281800
Palestine,404,18,7,36487.0,11913.0,8290.0,2230.0,0,8534.0,3712.0,0,0,2027.06,1985.5,2072.5,2230.0,0,1706.8,1856.0,0,0,6,4,1,0,5,2,0,0,2146.0,"Seder, Mohammed",0
Kazakhstan,5266,258,77,569893.0,54664.0,191146.0,125230.0,54587.0,27324.0,71456.0,26071.0,17918.0,2208.89,2102.46,2222.63,2319.07,2481.23,1821.6,2041.6,2172.58,2239.75,26,86,54,22,15,35,12,8,2558.0,"Makhnev, Denis",20426568
Libya,813,20,3,42681.0,14092.0,21276.0,0,0,1714.0,3754.0,0,0,2134.05,2013.14,2127.6,0,0,1714.0,1877.0,0,0,7,10,0,0,1,2,0,0,2210.0,"Kweiri, Tawfik ezzeddin",7459000
Syria,548,28,4,63096.0,4311.0,38248.0,11380.0,0,0,5818.0,1911.0,0,2253.43,2155.5,2249.88,2276.0,0,0,1939.33,1911.0,0,2,17,5,0,0,3,1,0,2403.0,"Husari, Satea",25620000
Georgia,1797,158,73,359960.0,8743.0,53534.0,97124.0,74002.0,13735.0,58418.0,30182.0,22625.0,2278.23,2185.75,2230.58,2368.88,2466.73,1962.14,2086.36,2155.86,2262.5,4,24,41,30,7,28,14,10,2570.0,"Jobava, Baadur",4000921
Armenia,2043,179,33,412986.0,52051.0,109648.0,89711.0,97184.0,5893.0,26875.0,19154.0,11039.0,2307.18,2168.79,2284.33,2360.82,2491.9,1964.33,2067.31,2128.22,2207.8,24,48,38,39,3,13,9,5,2644.0,"Sargsyan, Shant",3076200
Ukraine,5819,598,99,1368311.0,55061.0,466336.0,441649.0,215336.0,5232.0,75858.0,64564.0,42088.0,2288.15,2202.44,2242.0,2324.47,2503.91,1744.0,2050.22,2152.13,2215.16,25,208,190,86,3,37,30,19,2674.0,"Eljanov, Pavel",32862000
Cayman Islands,49,7,3,13819.0,7243.0,0,0,0,4835.0,0,0,0,1974.14,1810.75,0,0,0,1611.67,0,0,0,4,0,0,0,3,0,0,0,1952.0,"Blackwood, Ryan",0
Italy,16137,315,30,705465.0,67551.0,423000.0,117287.0,44410.0,3934.0,36897.0,8686.0,2059.0,2239.57,2110.97,2226.32,2345.74,2467.22,1967.0,2049.83,2171.5,2059.0,32,190,50,18,2,18,4,1,2590.0,"Lodici, Lorenzo",58927633
Bolivia,1889,58,19,117850.0,42130.0,29146.0,6901.0,2355.0,17867.0,9706.0,7937.0,0,2031.9,2006.19,2081.86,2300.33,2355.0,1786.7,1941.2,1984.25,0,21,14,3,1,10,5,4,0,2426.0,"Ticona Rocabado, Licael Roderick",11365333
Saudi Arabia,278,7,1,15616.0,7977.0,4066.0,0,0,1802.0,0,0,0,2230.86,1994.25,2033.0,0,0,1802.0,0,0,0,4,2,0,0,1,0,0,0,2106.0,"Alrehaili, Ahmed Abdullah S",35300280
